Library Folder,Symbol
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG901_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG901_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG901_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG901_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG901_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG901_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG901_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG901_8_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG901_9_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG901_10_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG901_11_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K420T-FFG901_12_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG1156"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG1156_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG1156_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG1156_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG1156_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG1156_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG1156_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG1156_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG1156_8_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG1156_9_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG1156_10_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG1156_11_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG1156_12_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG901"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG901_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG901_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG901_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG901_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG901_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG901_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG901_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG901_8_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG901_9_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG901_10_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG901_11_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K480T-FFG901_12_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K70T-FBG484"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K70T-FBG484_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K70T-FBG484_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K70T-FBG484_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K70T-FBG484_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K70T-FBG484_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K70T-FBG484_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K70T-FBG484_7_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K70T-FBG676"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K70T-FBG676_1_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K70T-FBG676_2_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K70T-FBG676_3_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K70T-FBG676_4_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K70T-FBG676_5_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K70T-FBG676_6_1"""
FPGA_Xilinx_Kintex7.kicad_sym,"""XC7K70T-FBG676_7_1"""
